id,company,company size,location,technology,seniority,salary employment min,salary employment max,salary b2b min,salary b2b max
bdab8e6d353f2410bd4944c2d539a548,Appfire,1000.0,Wrocław,JavaScript,mid,13500.0,18000.0,,
32266fa50765f5795d9ea5282b2a00f5,Appfire,1000.0,Kraków,JavaScript,mid,13500.0,18000.0,,
cde5ff517a81652de15b7fce30a3e674,Appfire,1000.0,Katowice,JavaScript,mid,13500.0,18000.0,,
001a2a9001a53119c999374ec6d25738,Appfire,1000.0,Łódź,JavaScript,mid,13500.0,18000.0,,
71bc5461b6d3ddfbb33b768439a7ec99,Appfire,1000.0,Poznań,JavaScript,mid,13500.0,18000.0,,
2117fa7d2b5e0851c2f338eb4bacf3bf,Appfire,1000.0,Warszawa,JavaScript,mid,13500.0,18000.0,,
d94eb88f4522f229eed3b9f0623a502e,Appfire,1000.0,Gdańsk,Java,mid,13000.0,18000.0,,
3be25991288cf7bd7332b917698a44a5,Appfire,1000.0,Warszawa,Java,senior,18360.0,25125.0,,
867e2292a67fc8a57ba9b6adfd7b1538,Appfire,1000.0,Gdańsk,Java,senior,18360.0,25125.0,,
b38e18e73f15628000440608415ff9d9,Appfire,1000.0,Katowice,Java,senior,18360.0,25125.0,,
c02b11006bd33a5ec72a8d565e92276a,Appfire,1000.0,Łódź,Java,senior,18360.0,25125.0,,
7e6f7475259e56046554a2bbd9c318e9,Appfire,1000.0,Kraków,Java,senior,18360.0,25125.0,,
07c5a648910ffb45c5067102033391cc,Appfire,1000.0,Poznań,Java,senior,18360.0,25125.0,,
356f0b70a2614661561b3dac52235bac,Appfire,1000.0,Gdańsk,Java,mid,18300.0,25100.0,,
dbc91ae97ed4514e24c4b7128007e8fe,Appfire,1000.0,Wrocław,Java,mid,18300.0,25100.0,,
ba477a6aafdade9af7053dbb4c7a1506,Appfire,1000.0,Warszawa,Java,mid,18300.0,25100.0,,
f2cf8c971eedcd94bd5df81a425c8c65,Appfire,1000.0,Kraków,Java,mid,18300.0,25100.0,,
91f1a09fcde699ce2331429e48443b3c,Appfire,1000.0,Katowice,Java,mid,18300.0,25100.0,,
3f3395f8210309120e3b03feed3a405a,Appfire,1000.0,Łódź,Java,mid,18300.0,25100.0,,
8c6addab733443eed130d6e2258b54b4,Appfire,1000.0,Poznań,Java,mid,18300.0,25100.0,,
805e32fe158bc594857ca50cb57cc729,Appfire,1000.0,Łódź,JavaScript,mid,18300.0,25100.0,,
b323c99ea46d97701633290e55614db8,Appfire,1000.0,Gdańsk,JavaScript,mid,18300.0,25100.0,,
476b56da5980b2685f2961dd0a7fab46,Appfire,1000.0,Katowice,JavaScript,mid,18300.0,25100.0,,
7b1c54afd865cb835a44913ab55bb033,Appfire,1000.0,Wrocław,JavaScript,mid,18300.0,25100.0,,
8898d840249844c06ce5f9a1807796a6,Appfire,1000.0,Poznań,JavaScript,mid,18300.0,25100.0,,
a79cb7af53ddb2a3ee6431dc0976e7fa,Appfire,1000.0,Kraków,JavaScript,mid,18300.0,25100.0,,
